timestamp,tipPressure,tipUpperRange,tipLowerRange,fingerPressure,fingerUpperRange,fingerLowerRange,angle,writtingSpeed,accX,accY,accZ,gyroX,gyroY,gyroZ
14346,0,170,30,1,170,30,38,4,-0.654736340045929,-0.06398437917232513,-0.8506152629852295,2.2944273948669434,0.9141984581947327,1.5009160041809082
14347,0,170,30,2,170,30,38,1,-0.655712902545929,-0.057636719197034836,-0.8359668254852295,0.26389312744140625,0.21190840005874634,1.4093129634857178
14348,0,170,30,2,170,30,38,2,-0.654248058795929,-0.06374023854732513,-0.8476855754852295,1.1188549995422363,0.6088549494743347,0.6154198050498962
14349,0,170,30,2,170,30,38,2,-0.656689465045929,-0.07033203542232513,-0.8452441692352295,1.6226718425750732,0.013435065746307373,0.4474809169769287
14350,0,170,30,2,170,30,37,8,-0.667431652545929,-0.062031250447034836,-0.8379199504852295,-5.644503593444824,-1.055267095565796,1.8520610332489014
14351,0,170,30,2,170,30,38,7,-0.654736340045929,-0.046162109822034836,-0.8418262004852295,5.775343894958496,1.3722137212753296,0.29480916261672974
14352,0,170,30,2,170,30,38,3,-0.657910168170929,-0.048359375447034836,-0.8330371379852295,-1.873511552810669,0.12030529975891113,1.0734350681304932
14353,0,170,30,2,170,30,38,3,-0.649365246295929,-0.058369141072034836,-0.8371875286102295,-1.186488389968872,0.8836641311645508,1.027633547782898
14354,0,170,30,2,170,30,38,1,-0.650341808795929,-0.07765625417232513,-0.8503711223602295,-0.056717634201049805,0.5477862358093262,-0.6822900772094727
14355,0,170,30,2,170,30,38,3,-0.666210949420929,-0.051533203572034836,-0.8533008098602295,1.7753435373306274,1.5554198026657104,-0.27007633447647095
14356,0,170,30,2,170,30,38,9,-0.656445324420929,-0.042500000447034836,-0.8218066692352295,-5.049083709716797,1.2500762939453125,3.1955726146698
14357,0,170,30,4,170,30,38,2,-0.651318371295929,-0.060078125447034836,-0.8550097942352295,-0.08725190162658691,1.7080914974212646,-0.2090076357126236
14358,0,170,30,6,170,30,38,7,-0.630078136920929,-0.049824219197034836,-0.8471972942352295,1.790610671043396,1.4485496282577515,-4.468549728393555
14359,0,170,30,12,170,30,38,42,-0.632275402545929,-0.12086914479732513,-0.9050586223602295,26.63030433654785,2.303511381149292,-13.140304565429688
14361,0,170,30,21,170,30,37,9,-0.661328136920929,-0.12135742604732513,-0.8269336223602295,7.363129615783691,-2.200305223464966,-0.1326717585325241
