timestamp,tipPressure,tipUpperRange,tipLowerRange,fingerPressure,fingerUpperRange,fingerLowerRange,angle,writtingSpeed,accX,accY,accZ,gyroX,gyroY,gyroZ
40140,0,170,30,0,170,30,25,70,-0.4564843773841858,0.8270898461341858,-0.5630956888198853,34.050838470458984,-23.501832962036133,12.67374038696289
40141,0,170,30,0,170,30,26,268,-0.3373437523841858,0.2145410180091858,-1.1536718606948853,195.730224609375,25.42946434020996,-47.41786193847656
40142,0,170,30,0,170,30,24,108,-0.7565332055091858,0.1351953148841858,-0.9114843606948853,65.97450256347656,-31.654504776000977,10.38366413116455
40143,0,170,30,0,170,30,25,47,-0.4115625023841858,0.3200097680091858,-0.9271093606948853,28.6004581451416,13.18519115447998,5.864580154418945
40144,0,170,30,0,170,30,25,42,-0.3893457055091858,0.2990136742591858,-0.8712011575698853,-13.155267715454102,4.650839805603027,24.658472061157227
40145,0,170,30,0,170,30,27,282,-0.2907128930091858,0.3444238305091858,-1.0984960794448853,178.37144470214844,27.62793731689453,-76.65450286865234
40146,0,170,30,0,170,30,24,159,-0.4745507836341858,-0.2319921851158142,-0.8983007669448853,113.74549865722656,-24.051450729370117,-22.16595458984375
40147,0,170,30,3,170,30,21,191,-0.3380761742591858,0.07074218988418579,-1.2674413919448853,-121.1247329711914,-57.654502868652344,-13.066717147827148
40148,0,170,30,22,170,30,12,265,-0.6122460961341858,0.10980468988418579,-0.8575292825698853,-128.52931213378906,-123.6850357055664,-13.23465633392334
40149,0,170,30,30,170,30,11,137,-0.8178125023841858,0.1991601586341858,-0.5489355325698853,31.852367401123047,-73.88351440429688,31.330228805541992
40150,0,170,30,31,170,30,15,57,-0.6010156273841858,0.2536035180091858,-0.8807226419448853,7.776030540466309,-36.37206268310547,-13.341526985168457
40151,0,170,30,56,170,30,21,45,-0.8551660180091858,0.2567773461341858,-0.6175390481948853,-13.872824668884277,22.879846572875977,-8.45603084564209
40152,0,170,30,57,170,30,27,35,-0.7435937523841858,0.05194335803389549,-0.7566992044448853,4.371450424194336,22.620304107666016,-8.639236450195312
40153,0,170,30,50,170,30,29,75,-0.8295312523841858,0.10492187738418579,-0.5848242044448853,-23.93389320373535,-30.112520217895508,21.895112991333008
40154,0,170,30,55,170,30,32,27,-0.7435937523841858,0.2184472680091858,-0.5660253763198853,19.18061065673828,7.658473014831543,0.5974045991897583
40155,0,170,30,43,170,30,36,57,-0.7636132836341858,0.2406640648841858,-0.7398535013198853,52.46305465698242,4.223358631134033,0.429465651512146
40156,0,170,30,22,170,30,38,29,-0.7704492211341858,0.09100586175918579,-0.6841894388198853,-1.720152735710144,12.63557243347168,14.994351387023926
40157,0,170,30,10,170,30,40,69,-0.7130761742591858,0.06561523675918579,-0.7308202981948853,26.753129959106445,-2.1735877990722656,-40.68503952026367
40158,0,170,30,5,170,30,41,62,-0.7579980492591858,0.09051758050918579,-0.7510839700698853,-47.47587585449219,3.154656410217285,12.230992317199707
40160,0,170,30,2,170,30,42,45,-0.7714257836341858,0.09881836175918579,-0.7171484231948853,-36.51404571533203,7.276793956756592,1.696641206741333
40161,0,170,30,2,170,30,44,62,-0.7560449242591858,0.11786133050918579,-0.7210546731948853,-37.58274841308594,11.872213363647461,12.734808921813965
40162,0,170,30,4,170,30,46,339,-0.6286035180091858,0.3900781273841858,-0.7022558450698853,-204.727783203125,26.97144889831543,107.86457824707031
40163,0,170,30,10,170,30,46,109,-0.6229882836341858,0.4765039086341858,-0.7359472513198853,-70.3155746459961,9.200458526611328,29.666105270385742
40164,0,170,30,8,170,30,44,10,-0.6564355492591858,0.5892968773841858,-0.6297460794448853,2.0661067962646484,3.521068572998047,5.024885654449463
40165,0,170,30,4,170,30,43,12,-0.6227441430091858,0.5260644555091858,-0.6968847513198853,5.485954284667969,1.0630533695220947,5.9256486892700195
40166,0,170,30,3,170,30,43,81,-0.6552148461341858,0.5446191430091858,-0.6006933450698853,-36.4835090637207,19.81114387512207,24.948549270629883
40167,0,170,30,0,170,30,41,57,-0.5446191430091858,0.5814843773841858,-0.7662206888198853,-29.139999389648438,-3.623969316482544,24.81114387512207
40168,0,170,30,0,170,30,38,8,-0.5844140648841858,0.6134667992591858,-0.7486425638198853,0.5851908922195435,-6.020915985107422,1.9256489276885986
40169,0,170,30,0,170,30,37,54,-0.5924707055091858,0.4740625023841858,-0.7144628763198853,49.15007781982422,-3.868244171142578,1.3149617910385132
40170,0,170,30,0,170,30,37,164,-0.5546289086341858,0.1559472680091858,-0.8077245950698853,-128.55984497070312,-10.356793403625488,25.345495223999023
40171,0,170,30,0,170,30,37,32,-0.6371484398841858,0.5158105492591858,-0.7186132669448853,2.9516029357910156,12.6050386428833,-17.249923706054688
40172,0,170,30,0,170,30,36,23,-0.5419335961341858,0.4867578148841858,-0.8099218606948853,7.547022819519043,5.246259689331055,10.719541549682617
40173,0,170,30,0,170,30,35,45,-0.5744042992591858,0.4752832055091858,-0.7422949075698853,-32.3003044128418,-0.769007682800293,12.108855247497559
40174,0,170,30,0,170,30,35,32,-0.5426660180091858,0.5446191430091858,-0.7754980325698853,-20.300304412841797,3.3683969974517822,9.070687294006348
40175,0,170,30,0,170,30,34,27,-0.5775781273841858,0.6178613305091858,-0.6641699075698853,-18.422441482543945,0.9409160017967224,7.666106700897217
40176,0,170,30,0,170,30,33,18,-0.5424218773841858,0.6693750023841858,-0.6741796731948853,-13.231603622436523,-2.952213764190674,2.627938985824585
40177,0,170,30,0,170,30,33,24,-0.5536523461341858,0.6552148461341858,-0.6915136575698853,-6.819389343261719,1.1851909160614014,16.124122619628906
40178,0,170,30,0,170,30,32,37,-0.5285058617591858,0.7135644555091858,-0.6507421731948853,18.447786331176758,7.979084014892578,10.887480735778809
40179,0,170,30,0,170,30,32,39,-0.4462304711341858,0.5853906273841858,-0.7474218606948853,27.577558517456055,-0.23465651273727417,-11.631603240966797
40180,0,170,30,0,170,30,31,31,-0.5121484398841858,0.5683007836341858,-0.7313085794448853,5.241679668426514,1.2615265846252441,-24.883512496948242
40181,0,170,30,0,170,30,31,25,-0.5153222680091858,0.5558496117591858,-0.7642675638198853,-10.071297645568848,-7.562900543212891,-8.27282428741455
40182,0,170,30,1,170,30,31,26,-0.6193261742591858,0.6195703148841858,-0.6651464700698853,-15.323206901550293,0.4065648913383484,-11.112519264221191
40183,0,170,30,2,170,30,31,37,-0.6027246117591858,0.5116601586341858,-0.7381445169448853,8.951602935791016,1.0630533695220947,-27.158321380615234
40184,0,170,30,2,170,30,32,46,-0.5883203148841858,0.5238671898841858,-0.7337499856948853,26.050840377807617,8.559236526489258,-12.135419845581055
40185,0,170,30,2,170,30,32,22,-0.6085839867591858,0.4811425805091858,-0.7427831888198853,-0.6514503955841064,-8.891144752502441,-12.730839729309082
40186,0,170,30,3,170,30,32,47,-0.6107812523841858,0.5119042992591858,-0.7396093606948853,24.20351219177246,-2.5094656944274902,-20.60870361328125
40187,0,170,30,3,170,30,31,52,-0.6439843773841858,0.4725976586341858,-0.6956640481948853,-9.613283157348633,-30.463665008544922,12.032519340515137
40188,0,170,30,3,170,30,31,50,-0.7035546898841858,0.4330468773841858,-0.6802831888198853,22.6004581451416,-10.03618335723877,18.108854293823242
40189,0,170,30,3,170,30,31,33,-0.7018457055091858,0.5702539086341858,-0.5711523294448853,26.630992889404297,-2.9674808979034424,3.513435125350952
40190,0,170,30,4,170,30,34,279,-0.7284570336341858,0.8134179711341858,-0.6878515481948853,124.6462631225586,29.322593688964844,-125.55526733398438
40191,0,170,30,7,170,30,36,128,-0.6093164086341858,0.2179589867591858,-0.7781835794448853,24.661527633666992,-8.29572582244873,-95.69267272949219
