timestamp,tipPressure,tipUpperRange,tipLowerRange,fingerPressure,fingerUpperRange,fingerLowerRange,angle,writtingSpeed,accX,accY,accZ,gyroX,gyroY,gyroZ
27170,0,170,30,44,170,30,26,57,-0.5150781273841858,0.2409082055091858,-0.8790136575698853,8.81419849395752,-24.173587799072266,-24.700305938720703
27171,0,170,30,64,170,30,25,18,-0.5209375023841858,0.1879296898841858,-0.8970800638198853,1.5775573253631592,-10.891144752502441,-6.242290019989014
27172,0,170,30,77,170,30,26,13,-0.5004296898841858,0.1383691430091858,-0.9202734231948853,-7.567480564117432,-0.11251911520957947,6.078320503234863
27173,0,170,30,92,170,30,26,11,-0.5355859398841858,0.1742578148841858,-0.9114843606948853,-2.6514501571655273,-2.7537403106689453,5.788244247436523
27174,0,170,30,103,170,30,26,9,-0.5058007836341858,0.1466699242591858,-0.9498144388198853,2.1424427032470703,-6.387328147888184,-1.1888549327850342
27175,0,170,30,109,170,30,27,6,-0.5216699242591858,0.1510644555091858,-0.9161230325698853,4.539389133453369,-0.14305344223976135,1.4523664712905884
27176,0,170,30,109,170,30,27,14,-0.5363183617591858,0.1378808617591858,-0.9244238138198853,4.371450424194336,-5.104885578155518,5.192824363708496
27177,0,170,30,114,170,30,26,55,-0.5275292992591858,0.2028222680091858,-0.9036718606948853,-14.804122924804688,-15.07435131072998,25.5134334564209
27178,0,170,30,110,170,30,26,32,-0.5578027367591858,0.3031640648841858,-0.9439550638198853,-14.254504203796387,-3.013282299041748,15.284427642822266
27179,0,170,30,79,170,30,25,73,-0.6066308617591858,0.4127832055091858,-0.7693945169448853,-63.765953063964844,-8.387328147888184,1.5134351253509521
27180,0,170,30,54,170,30,27,26,-0.5018945336341858,0.2553125023841858,-0.8965917825698853,-19.139999389648438,3.154656410217285,4.093587875366211
27181,0,170,30,38,170,30,28,32,-0.5106835961341858,0.4110742211341858,-0.7654882669448853,-17.73541831970215,7.093587875366211,8.063053131103516
27182,0,170,30,30,170,30,28,20,-0.4950585961341858,0.4079003930091858,-0.8179785013198853,-2.269771099090576,-5.501832008361816,-12.883511543273926
27183,0,170,30,27,170,30,27,31,-0.6098046898841858,0.3964257836341858,-0.7593847513198853,5.043206214904785,4.055419921875,-22.318626403808594
27184,0,170,30,25,170,30,29,12,-0.6552148461341858,0.3649316430091858,-0.8340917825698853,-1.2010687589645386,4.559236526489258,-6.37969446182251
27185,0,170,30,22,170,30,30,7,-0.6107812523841858,0.3905664086341858,-0.8482519388198853,-3.384274482727051,-3.6392366886138916,-0.944580078125
27187,0,170,30,14,170,30,29,24,-0.5949121117591858,0.4501367211341858,-0.7488867044448853,-12.391908645629883,-11.578167915344238,0.03251910209655762
27188,0,170,30,12,170,30,29,29,-0.6132226586341858,0.4628320336341858,-0.7723242044448853,-14.20870304107666,-5.578167915344238,9.772976875305176
27191,0,170,30,9,170,30,34,36,-0.5687890648841858,0.3993554711341858,-0.7332617044448853,5.577557563781738,24.07068634033203,6.521068572998047
27192,0,170,30,9,170,30,35,14,-0.6295800805091858,0.5319238305091858,-0.7886816263198853,1.7149617671966553,7.337862491607666,5.559236526489258
27194,0,170,30,9,170,30,31,45,-0.4511132836341858,0.4313378930091858,-0.8218847513198853,19.34855079650879,-24.78427505493164,-1.066717505455017
27195,0,170,30,18,170,30,29,39,-0.6469140648841858,0.3590722680091858,-0.7715917825698853,12.951602935791016,-10.936946868896484,-15.158320426940918
27196,0,170,30,51,170,30,28,83,-0.5805078148841858,0.1679101586341858,-0.9510351419448853,64.52412414550781,-4.998015403747559,-14.379694938659668
27197,0,170,30,99,170,30,28,92,-0.6649804711341858,0.2177148461341858,-0.8545995950698853,54.78366470336914,-21.975114822387695,-15.662137031555176
27199,0,170,30,214,170,30,32,55,-0.7411523461341858,0.2665429711341858,-0.8333593606948853,34.31038284301758,20.7119083404541,0.734809160232544
27200,0,170,30,242,170,30,35,22,-0.6852441430091858,0.2677636742591858,-0.7999120950698853,6.9210686683654785,15.032519340515137,0.429465651512146
27201,0,170,30,167,170,30,37,35,-0.7145410180091858,0.11590820550918579,-0.7884374856948853,22.38671875,10.467633247375488,3.1164886951446533
27203,0,170,30,97,170,30,37,22,-0.6776757836341858,0.2726464867591858,-0.6800390481948853,7.195878028869629,-3.761373996734619,-11.921679496765137
27204,0,170,30,93,170,30,38,94,-0.6083398461341858,0.03924804553389549,-0.8006445169448853,58.157711029052734,18.925647735595703,-17.112520217895508
27205,0,170,30,122,170,30,36,45,-0.3410058617591858,0.6325097680091858,0.10047851502895355,26.356184005737305,-2.372061014175415,16.29206085205078
27206,0,170,30,203,170,30,35,59,-0.6679101586341858,-0.0042089857161045074,-0.9529882669448853,-21.01786231994629,-31.944581985473633,6.337862491607666
27207,0,170,30,278,170,30,36,17,-0.6901269555091858,0.1903710961341858,-0.8377538919448853,0.9974045753479004,-15.120152473449707,-1.1125190258026123
27208,0,170,30,340,170,30,36,6,-0.7453027367591858,0.1547265648841858,-0.7398535013198853,2.9516029357910156,-3.4560306072235107,0.1088549792766571
27209,0,170,30,392,170,30,37,9,-0.7533593773841858,0.1889062523841858,-0.7098242044448853,-0.8193893432617188,-6.738473415374756,-1.9522137641906738
27210,0,170,30,433,170,30,38,6,-0.7426171898841858,0.1859765648841858,-0.7425390481948853,1.3180153369903564,-5.410229206085205,0.21572519838809967
27211,2,170,30,469,170,30,38,8,-0.7728906273841858,0.3580957055091858,-0.7059179544448853,-1.9491602182388306,5.918015480041504,0.734809160232544
27212,36,170,30,515,170,30,40,6,-0.7833886742591858,0.2829003930091858,-0.7144628763198853,1.333282470703125,0.7577099204063416,-4.7461066246032715
27213,97,170,30,598,170,30,41,15,-0.7045312523841858,0.09735351800918579,-0.8572851419448853,5.195878028869629,0.040152668952941895,-10.135419845581055
27214,105,170,30,666,170,30,42,22,-0.8290429711341858,0.0038476549088954926,-0.6375585794448853,2.264580249786377,-8.310992240905762,11.498167991638184
27215,34,170,30,650,170,30,45,29,-0.6012597680091858,0.0050683580338954926,-0.9634863138198853,-9.216336250305176,-8.188855171203613,12.460000038146973
27216,11,170,30,637,170,30,43,8,-0.7677636742591858,0.1852441430091858,-0.7261816263198853,5.66916036605835,-2.1735877990722656,-0.6545038223266602
27217,3,170,30,636,170,30,43,6,-0.7384667992591858,0.1591210961341858,-0.7183691263198853,2.7531299591064453,-2.9674808979034424,0.46000000834465027
27218,8,170,30,635,170,30,44,8,-0.7643457055091858,0.2099023461341858,-0.6956640481948853,1.363816738128662,2.1775572299957275,4.673740386962891
27219,38,170,30,648,170,30,44,9,-0.7797265648841858,0.2335839867591858,-0.6978613138198853,2.0966410636901855,-4.875877857208252,2.3225953578948975
27220,82,170,30,679,170,30,44,27,-0.8322167992591858,0.2946191430091858,-0.7828222513198853,5.501221656799316,-11.532366752624512,-10.700304985046387
27221,111,170,30,717,170,30,44,38,-0.7997460961341858,0.06708008050918579,-0.5674902200698853,9.867632865905762,0.6050381064414978,-27.906414031982422
27222,123,170,30,750,170,30,45,5,-0.7750878930091858,0.1483789086341858,-0.7017675638198853,2.7836642265319824,-1.5323665142059326,-0.7155724763870239
27223,117,170,30,758,170,30,46,9,-0.8319726586341858,0.10541015863418579,-0.7930761575698853,-2.727786064147949,6.834045886993408,0.21572519838809967
27224,116,170,30,749,170,30,46,14,-0.7865625023841858,0.1381250023841858,-0.7144628763198853,2.9516029357910156,7.261526584625244,4.017251968383789
27225,106,170,30,739,170,30,47,18,-0.7933984398841858,0.1784082055091858,-0.7037206888198853,10.081374168395996,-5.394961833953857,-2.6850380897521973
27226,63,170,30,711,170,30,48,80,-1.043398380279541,0.3493066430091858,-0.17076171934604645,17.272214889526367,57.13938903808594,-5.79954195022583
27227,21,170,30,617,170,30,51,23,-0.5997949242591858,0.08368164300918579,-0.7618261575698853,1.012671709060669,18.162288665771484,-4.761373996734619
27228,7,170,30,573,170,30,45,71,-0.8746972680091858,0.0043359361588954926,-1.1607519388198853,-13.796488761901855,-42.35679626464844,-15.662137031555176
27230,2,170,30,566,170,30,46,15,-0.6569238305091858,0.1471582055091858,-0.5828710794448853,-1.6438168287277222,12.6050386428833,1.467633605003357
27231,0,170,30,583,170,30,44,12,-0.8146386742591858,0.2091699242591858,-0.6546484231948853,-1.8880916833877563,-7.715572357177734,3.0401527881622314
27232,0,170,30,597,170,30,45,11,-0.7614160180091858,0.1906152367591858,-0.6988378763198853,2.05083966255188,7.643206596374512,1.6355725526809692
27233,0,170,30,603,170,30,45,17,-0.7626367211341858,0.2003808617591858,-0.7261816263198853,-8.666717529296875,-5.700305461883545,2.979084014892578
27234,0,170,30,612,170,30,45,13,-0.7614160180091858,0.1586328148841858,-0.7012792825698853,3.08900785446167,-4.723206043243408,5.406564712524414
27235,13,170,30,631,170,30,45,4,-0.7741113305091858,0.1686425805091858,-0.7496191263198853,3.5622901916503906,-0.5247328281402588,-0.5476335287094116
27236,49,170,30,667,170,30,45,49,-0.7265039086341858,0.4516015648841858,-0.7664648294448853,19.42488670349121,-2.0361831188201904,-27.95221519470215
27237,95,170,30,719,170,30,45,20,-0.7562890648841858,0.2006250023841858,-0.7061620950698853,12.035572052001953,-3.120152711868286,-4.883511543273926
27238,38,170,30,699,170,30,48,59,-0.6466699242591858,0.1474023461341858,-0.8148046731948853,19.0432071685791,27.658472061157227,12.734808921813965
27239,13,170,30,673,170,30,45,22,-0.8095117211341858,0.2357812523841858,-0.6741796731948853,-4.514045715332031,-12.646870613098145,5.513435363769531
27240,4,170,30,653,170,30,45,33,-0.8317285180091858,0.1422753930091858,-0.6614843606948853,-17.384273529052734,-1.2728245258331299,14.597404479980469
27241,1,170,30,644,170,30,44,14,-0.7865625023841858,0.2531152367591858,-0.6800390481948853,-5.47587776184082,-7.547633647918701,1.895114541053772
27242,26,170,30,658,170,30,45,4,-0.7565332055091858,0.2179589867591858,-0.6878515481948853,3.165343761444092,-1.1506869792938232,0.5210686922073364
27243,10,170,30,638,170,30,47,99,-0.6571679711341858,0.2204003930091858,-0.7999120950698853,41.80656433105469,38.14702224731445,-19.84534454345703
27244,3,170,30,590,170,30,43,43,-0.7643457055091858,0.1915917992591858,-0.6282812356948853,1.6233587265014648,-37.57816696166992,-4.486564636230469
27245,0,170,30,597,170,30,44,8,-0.7289453148841858,0.1581445336341858,-0.7620702981948853,-1.0789313316345215,1.9638168811798096,-5.433129787445068
27246,0,170,30,604,170,30,44,14,-0.7579980492591858,0.1420312523841858,-0.7068945169448853,5.776030540466309,-6.326259613037109,-2.4712977409362793
27247,20,170,30,619,170,30,45,12,-0.7787500023841858,0.07733398675918579,-0.7086035013198853,-9.506412506103516,2.4676337242126465,-0.5018320083618164
27248,58,170,30,648,170,30,45,15,-0.7745996117591858,0.1505761742591858,-0.6744238138198853,-2.559847354888916,-2.845343589782715,-10.013282775878906
27249,89,170,30,673,170,30,46,10,-0.7726464867591858,0.1979394555091858,-0.7181249856948853,-4.071297645568848,5.78061056137085,-0.9598473310470581
27250,100,170,30,678,170,30,47,15,-0.7692285180091858,0.2960839867591858,-0.6277929544448853,4.554656505584717,2.589771032333374,8.597404479980469
27251,100,170,30,695,170,30,46,17,-0.7811914086341858,0.0036035142838954926,-0.7547460794448853,14.508854866027832,-2.4178626537323,0.6126717329025269
27253,113,170,30,732,170,30,46,26,-0.6708398461341858,0.1806054711341858,-0.5753027200698853,-17.338472366333008,9.21572494506836,-0.1354198157787323
27254,102,170,30,720,170,30,46,10,-0.7951074242591858,0.07953125238418579,-0.7874609231948853,-4.819389343261719,-3.3186259269714355,2.734809160232544
27255,33,170,30,631,170,30,52,83,-0.7360253930091858,0.04388671740889549,-0.9966894388198853,12.508854866027832,62.574501037597656,8.292060852050781
27256,13,170,30,473,170,30,49,62,-0.4874902367591858,0.022158201783895493,-0.7813574075698853,-27.078929901123047,-30.44839859008789,5.4676337242126465
27257,4,170,30,325,170,30,46,37,-0.7982812523841858,0.2157617211341858,-0.7083593606948853,-23.93389320373535,-11.349160194396973,-1.8606107234954834
27258,1,170,30,247,170,30,45,23,-0.6019921898841858,0.12225586175918579,-0.7615820169448853,5.440152645111084,-3.8224427700042725,-14.211755752563477
27259,0,170,30,208,170,30,46,32,-0.4935937523841858,0.1432519555091858,-0.6629492044448853,4.829465866088867,18.085952758789062,9.6050386428833
27260,0,170,30,200,170,30,44,32,-0.8244042992591858,0.2140527367591858,-0.7789160013198853,-8.956793785095215,-18.143054962158203,-5.2499237060546875
27261,0,170,30,205,170,30,43,17,-0.7348046898841858,0.1730371117591858,-0.7762304544448853,-7.20106840133667,-8.127786636352539,-1.79954195022583
27262,0,170,30,194,170,30,43,4,-0.6964746117591858,0.1962304711341858,-0.7747656106948853,-0.0560305118560791,-0.02091604471206665,4.078320503234863
27263,0,170,30,212,170,30,43,2,-0.6979394555091858,0.1688867211341858,-0.7679296731948853,1.4706870317459106,0.8187785744667053,-0.24229004979133606
27264,0,170,30,244,170,30,43,22,-0.7037988305091858,0.1967187523841858,-0.7181249856948853,-6.315572261810303,9.063053131103516,7.543969631195068
27265,0,170,30,278,170,30,43,15,-0.6918359398841858,0.2191796898841858,-0.7364355325698853,-2.880457878112793,6.895114421844482,6.169923782348633
27266,0,170,30,313,170,30,43,6,-0.7069726586341858,0.2435937523841858,-0.7647558450698853,-0.9109923839569092,1.5668702125549316,3.5439693927764893
27267,0,170,30,338,170,30,43,11,-0.6991601586341858,0.2172265648841858,-0.7969824075698853,-2.834656238555908,-4.967480659484863,-3.2193892002105713
27268,6,170,30,363,170,30,43,14,-0.7321191430091858,0.2055078148841858,-0.7505956888198853,9.959236145019531,1.20045804977417,-3.2499237060546875
27269,39,170,30,415,170,30,43,11,-0.8100000023841858,0.5106835961341858,-0.5767675638198853,-5.262137413024902,-1.0438168048858643,5.314961910247803
27270,79,170,30,484,170,30,42,47,-0.7013574242591858,-0.010068360716104507,-0.7115331888198853,24.172977447509766,-5.410229206085205,18.017250061035156
27271,102,170,30,533,170,30,43,9,-0.7492089867591858,0.2172265648841858,-0.7242285013198853,-7.8575568199157715,0.6813740134239197,-1.4025954008102417
27272,110,170,30,577,170,30,43,36,-0.7401757836341858,0.3754296898841858,-0.8045507669448853,10.905800819396973,0.14702290296554565,-25.433130264282227
27274,127,170,30,644,170,30,43,12,-0.7455468773841858,0.1954980492591858,-0.7759863138198853,7.516488552093506,-2.7384731769561768,-2.333893060684204
27275,50,170,30,593,170,30,45,56,-0.6342187523841858,0.1320214867591858,-0.7610937356948853,11.043206214904785,28.9561824798584,16.047786712646484
27276,16,170,30,543,170,30,44,23,-0.7516503930091858,0.2306542992591858,-0.7005468606948853,11.440152168273926,7.704275131225586,-4.5323662757873535
27277,5,170,30,525,170,30,43,4,-0.7807031273841858,0.1796289086341858,-0.7127538919448853,-1.09419846534729,-2.830076217651367,0.29206109046936035
27278,1,170,30,516,170,30,43,7,-0.7689843773841858,0.2062402367591858,-0.6871191263198853,0.4019847512245178,2.8493130207061768,4.566870212554932
27279,9,170,30,511,170,30,43,3,-0.7301660180091858,0.1862207055091858,-0.7435156106948853,1.134809136390686,1.7806107997894287,-0.837709903717041
27280,34,170,30,540,170,30,43,15,-0.7426171898841858,0.1412988305091858,-0.8379980325698853,6.447786331176758,-5.104885578155518,-4.043816566467285
27281,23,170,30,541,170,30,45,85,-0.8756738305091858,0.1864648461341858,-0.6587988138198853,24.52412223815918,49.337860107421875,-11.738472938537598
27282,7,170,30,501,170,30,43,63,-0.7704492211341858,0.2365136742591858,-0.6710058450698853,-16.483510971069336,-38.32625961303711,8.246259689331055
27283,1,170,30,508,170,30,42,59,-0.7167382836341858,0.11541992425918579,-0.7886816263198853,-19.888090133666992,-31.883512496948242,7.513435363769531
27284,27,170,30,546,170,30,43,7,-0.7682519555091858,0.08709961175918579,-0.7256933450698853,-1.5674809217453003,-3.547633647918701,2.0630533695220947
27285,54,170,30,600,170,30,43,12,-0.7428613305091858,0.3312402367591858,-0.7005468606948853,-8.529313087463379,-1.074351191520691,-2.9598472118377686
27286,67,170,30,642,170,30,43,11,-0.7606835961341858,0.2565332055091858,-0.6368261575698853,4.630992412567139,-0.4941985011100769,6.017251968383789
27287,71,170,30,654,170,30,43,21,-0.7780175805091858,0.1869531273841858,-0.7984472513198853,11.623358726501465,-4.204122066497803,5.971450328826904
27288,77,170,30,663,170,30,43,25,-0.7780175805091858,0.2548242211341858,-0.6907812356948853,14.111907958984375,-3.440763235092163,-8.349160194396973
27289,95,170,30,704,170,30,43,15,-0.7528710961341858,0.2550683617591858,-0.7327734231948853,-4.223969459533691,-2.5705342292785645,8.276793479919434
27290,105,170,30,742,170,30,44,7,-0.7660546898841858,0.11273437738418579,-0.7317968606948853,6.218778610229492,0.5592365860939026,0.8416793942451477
27291,105,170,30,747,170,30,44,12,-0.7565332055091858,0.2916894555091858,-0.7488867044448853,11.440152168273926,0.07068699598312378,0.856946587562561
27292,104,170,30,746,170,30,44,27,-0.7675195336341858,0.1732812523841858,-0.6922460794448853,13.10427474975586,-7.349160194396973,7.269160270690918
27293,108,170,30,753,170,30,44,19,-0.7916894555091858,0.11737304925918579,-0.7313085794448853,10.325648307800293,-7.623969554901123,-1.8148090839385986
27294,132,170,30,793,170,30,44,22,-0.7807031273841858,0.3886132836341858,-0.7520605325698853,0.3409160375595093,-3.165954113006592,-18.532367706298828
27295,78,170,30,782,170,30,45,64,-0.8764062523841858,0.11541992425918579,-0.5753027200698853,18.661527633666992,42.69664001464844,2.6432061195373535
27296,27,170,30,747,170,30,45,30,-0.7992578148841858,0.11371093988418579,-0.6512304544448853,-6.834656238555908,-17.74610710144043,5.63557243347168
