timestamp,tipPressure,tipUpperRange,tipLowerRange,fingerPressure,fingerUpperRange,fingerLowerRange,angle,writtingSpeed,accX,accY,accZ,gyroX,gyroY,gyroZ
34086,0,170,30,32,170,30,42,47,-0.7321191430091858,-0.11504882574081421,-0.7093359231948853,28.646259307861328,-14.906412124633789,3.834045886993408
34087,0,170,30,39,170,30,42,85,-0.5949121117591858,-0.2693457007408142,-0.8951269388198853,36.27984619140625,-5.944580078125,-43.662139892578125
34088,0,170,30,68,170,30,41,42,-0.6893945336341858,-0.1353124976158142,-0.7276464700698853,-28.117097854614258,3.6126718521118164,10.38366413116455
34089,0,170,30,82,170,30,42,56,-0.6359277367591858,-0.1965917944908142,-0.8157812356948853,-45.41481018066406,7.414198398590088,3.2844274044036865
34090,0,170,30,55,170,30,42,42,-0.6788964867591858,-0.04424804821610451,-0.8384863138198853,4.9210686683654785,3.1088550090789795,-34.19649124145508
34091,0,170,30,28,170,30,41,29,-0.6256738305091858,-0.3215917944908142,-0.8699804544448853,24.234046936035156,0.39129769802093506,-4.66977071762085
34092,0,170,30,12,170,30,42,67,-0.6281152367591858,-0.2783789038658142,-0.8106542825698853,-34.88045883178711,16.330228805541992,16.169923782348633
34093,0,170,30,3,170,30,43,64,-0.5399804711341858,0.2238183617591858,-0.8311620950698853,-52.91099166870117,11.444732666015625,-0.639236569404602
34094,0,170,30,4,170,30,43,21,-0.6464257836341858,0.1727929711341858,-0.8462988138198853,-18.147632598876953,0.37603050470352173,2.551603078842163
34095,0,170,30,2,170,30,42,111,-0.5263085961341858,0.0006738267838954926,-0.9197851419448853,60.72259521484375,3.2920610904693604,-47.494197845458984
34096,0,170,30,5,170,30,40,23,-0.5304589867591858,0.0072656236588954926,-0.9420019388198853,17.48595428466797,-4.433129787445068,-2.0743510723114014
34097,0,170,30,7,170,30,39,246,-0.5082421898841858,0.2001367211341858,-0.8961035013198853,-171.33847045898438,14.92564868927002,60.03251647949219
34098,0,170,30,6,170,30,37,150,-0.5595117211341858,0.4730859398841858,-0.7947851419448853,-102.498779296875,-8.81480884552002,39.4828987121582
34099,0,170,30,5,170,30,35,16,-0.5150781273841858,0.4555078148841858,-0.7955175638198853,-14.514045715332031,0.5134350657463074,1.5592366456985474
34100,0,170,30,5,170,30,35,19,-0.5001855492591858,0.4545312523841858,-0.8226171731948853,-3.5369462966918945,3.979084014892578,11.6050386428833
34101,0,170,30,5,170,30,33,20,-0.5119042992591858,0.4806542992591858,-0.8167577981948853,1.7454962730407715,-1.1506869792938232,17.940916061401367
34102,0,170,30,3,170,30,34,105,-0.4533105492591858,0.3114648461341858,-0.9749609231948853,61.21114730834961,22.986717224121094,-21.50946617126465
34103,0,170,30,1,170,30,34,129,-0.4484277367591858,0.3012109398841858,-0.9422460794448853,94.2035140991211,13.154656410217285,-21.799543380737305
34105,0,170,30,4,170,30,32,5,-0.4784570336341858,0.2411523461341858,-0.9417577981948853,0.9363359212875366,1.1088550090789795,-3.524732828140259
34106,0,170,30,10,170,30,31,36,-0.4689355492591858,0.2399316430091858,-0.9422460794448853,-17.063663482666016,-7.715572357177734,11.238625526428223
34107,0,170,30,17,170,30,30,31,-0.4550195336341858,0.2540917992591858,-0.9290624856948853,-20.81938934326172,-5.0743513107299805,5.757709980010986
34108,0,170,30,22,170,30,29,35,-0.4867578148841858,0.3405175805091858,-0.9031835794448853,-17.078929901123047,-6.097251892089844,11.92564868927002
34109,0,170,30,24,170,30,28,9,-0.4691796898841858,0.2838769555091858,-0.9275976419448853,-5.949160099029541,0.6050381064414978,3.1164886951446533
34110,0,170,30,26,170,30,28,9,-0.4852929711341858,0.2987695336341858,-0.8956152200698853,-5.20106840133667,-1.0590839385986328,-2.8987786769866943
34111,0,170,30,28,170,30,28,44,-0.4574609398841858,0.3361230492591858,-0.8843847513198853,8.966870307922363,11.398931503295898,-24.22702407836914
34112,0,170,30,27,170,30,28,84,-0.4757714867591858,0.3078027367591858,-0.9339452981948853,44.72259521484375,13.18519115447998,-27.020917892456055
34113,0,170,30,25,170,30,29,199,-0.4418359398841858,0.1464257836341858,-0.9234472513198853,157.5775604248047,-0.5858015418052673,-41.570533752441406
34114,0,170,30,24,170,30,28,16,-0.4288964867591858,-0.11016601324081421,-0.9568945169448853,16.493587493896484,-0.1277862787246704,0.276793897151947
34115,0,170,30,21,170,30,28,33,-0.4291406273841858,-0.019345704466104507,-0.9444433450698853,-18.7125186920166,3.7195420265197754,10.67374038696289
34116,0,170,30,18,170,30,27,13,-0.3944726586341858,-0.0029882825911045074,-0.9903417825698853,-5.262137413024902,4.803511619567871,-3.692671775817871
34117,0,170,30,19,170,30,26,56,-0.4162011742591858,0.008486326783895493,-0.9517675638198853,-30.83465576171875,-5.685038089752197,20.017250061035156
34118,0,170,30,24,170,30,24,138,-0.4315820336341858,0.10296875238418579,-0.9825292825698853,-87.09420013427734,-20.921680450439453,30.383663177490234
34119,0,170,30,32,170,30,23,80,-0.4650292992591858,0.2389550805091858,-0.9263769388198853,-54.88045883178711,-10.769007682800293,14.38366413116455
34120,0,170,30,38,170,30,22,137,-0.4613671898841858,0.3546777367591858,-0.8787695169448853,-82.88045501708984,-26.631603240966797,28.21572494506836
34121,0,170,30,31,170,30,22,68,-0.4975000023841858,0.5394921898841858,-0.7942968606948853,-63.81175231933594,1.20045804977417,3.1012213230133057
34122,0,170,30,24,170,30,23,60,-0.4818750023841858,0.5324121117591858,-0.8011327981948853,-36.162899017333984,-10.173587799072266,14.38366413116455
