timestamp,tipPressure,tipUpperRange,tipLowerRange,fingerPressure,fingerUpperRange,fingerLowerRange,angle,writtingSpeed,accX,accY,accZ,gyroX,gyroY,gyroZ
33153,0,170,30,1,170,30,37,18,-0.650585949420929,-0.11159180104732513,-0.8511035442352295,-8.789541244506836,-5.498015403747559,-4.025801658630371
33154,0,170,30,1,170,30,36,25,-0.661572277545929,-0.19166992604732513,-0.8188769817352295,10.676106452941895,-11.95603084564209,3.0276336669921875
33155,0,170,30,1,170,30,35,58,-0.705273449420929,-0.062275391072034836,-0.8166797161102295,24.87458038330078,-19.421680450439453,13.897863388061523
33156,0,170,30,0,170,30,35,49,-0.705029308795929,-0.22072266042232513,-0.7549121379852295,39.042518615722656,-6.322442531585693,-4.407480716705322
33157,0,170,30,1,170,30,37,15,-0.730664074420929,-0.16359375417232513,-0.7627246379852295,-1.079618215560913,9.784427642822266,4.294809341430664
33159,0,170,30,2,170,30,38,22,-0.683544933795929,-0.23122070729732513,-0.7693164348602295,8.309694290161133,12.700458526611328,-1.8731298446655273
33160,0,170,30,1,170,30,39,45,-0.644238293170929,-0.28419920802116394,-0.8559863567352295,32.66083908081055,0.5783206224441528,-12.05633544921875
33161,0,170,30,1,170,30,39,10,-0.668652355670929,-0.24684570729732513,-0.7317187786102295,4.080687046051025,-5.971297740936279,0.38641223311424255
33162,0,170,30,1,170,30,39,5,-0.662792980670929,-0.29958006739616394,-0.7409961223602295,-2.545267343521118,-0.5514504313468933,-1.9952671527862549
33163,0,170,30,0,170,30,39,8,-0.669384777545929,-0.24538086354732513,-0.8061816692352295,-4.407862663269043,2.837862491607666,-1.2471755743026733
33164,0,170,30,2,170,30,39,15,-0.683544933795929,-0.19801758229732513,-0.8196094036102295,-13.04908275604248,1.2500762939453125,1.1955724954605103
33165,0,170,30,3,170,30,39,6,-0.660351574420929,-0.24245117604732513,-0.7839648723602295,-2.972748041152954,-0.7804580330848694,-3.201374053955078
33166,0,170,30,4,170,30,39,13,-0.656689465045929,-0.22877930104732513,-0.7788379192352295,-8.591068267822266,3.127938985824585,1.5314503908157349
33167,0,170,30,4,170,30,39,7,-0.668408215045929,-0.21510742604732513,-0.7925097942352295,-4.484198570251465,1.0821373462677002,2.371145009994507
33169,0,170,30,6,170,30,39,4,-0.664013683795929,-0.21144531667232513,-0.8037402629852295,0.17229008674621582,1.3722137212753296,2.478015184402466
33170,0,170,30,7,170,30,39,20,-0.661083996295929,-0.18947266042232513,-0.8061816692352295,-10.988015174865723,0.37984728813171387,9.409313201904297
33171,0,170,30,7,170,30,39,9,-0.665478527545929,-0.20436523854732513,-0.7983691692352295,7.225725173950195,1.769160270690918,-0.39221373200416565
33172,0,170,30,3,170,30,39,26,-0.654003918170929,-0.24489258229732513,-0.8012988567352295,17.714275360107422,-1.482748031616211,-7.674656391143799
33173,0,170,30,0,170,30,39,12,-0.660839855670929,-0.23927734792232513,-0.8008105754852295,-1.904045820236206,-1.055267095565796,9.287176132202148
33174,0,170,30,0,170,30,38,54,-0.608593761920929,-0.31105467677116394,-0.7505176067352295,-31.537633895874023,-5.192671775817871,17.56198501586914
33175,25,170,30,2,170,30,39,28,-0.726757824420929,-0.030537109822034836,-0.7844531536102295,-16.911680221557617,9.17374038696289,1.95893132686615
33176,90,170,30,31,170,30,39,25,-0.696972668170929,-0.14235351979732513,-0.8659961223602295,11.699007987976074,-6.383511543273926,-7.231908321380615
33177,126,170,30,96,170,30,38,125,-0.760937511920929,-0.48585936427116394,-0.7370898723602295,58.584503173828125,-26.856794357299805,-40.11740493774414
33178,156,170,30,146,170,30,37,54,-0.705273449420929,-0.013203125447034836,-0.8867480754852295,17.729541778564453,-14.475114822387695,-22.270076751708984
33179,160,170,30,163,170,30,37,15,-0.692578136920929,-0.21095703542232513,-0.7785937786102295,0.08068704605102539,-6.566717624664307,-8.514350891113281
33180,71,170,30,89,170,30,38,67,-0.667675793170929,-0.25392577052116394,-0.7878711223602295,34.41656494140625,30.105037689208984,-2.7280917167663574
33181,23,170,30,27,170,30,41,74,-0.666455090045929,-0.31666991114616394,-0.7109668254852295,-31.949846267700195,20.608854293823242,21.92839813232422
33182,7,170,30,2,170,30,41,19,-0.670849621295929,-0.24928711354732513,-0.7890918254852295,-15.125418663024902,-0.03236645460128784,4.569618225097656
