timestamp,tipPressure,tipUpperRange,tipLowerRange,fingerPressure,fingerUpperRange,fingerLowerRange,angle,writtingSpeed,accX,accY,accZ,gyroX,gyroY,gyroZ
7208,0,170,30,6,170,30,47,285,-0.6898828148841858,-0.5598730444908142,-0.5477148294448853,-152.39190673828125,90.92565155029297,42.55160140991211
7209,0,170,30,16,170,30,46,99,-0.7389550805091858,-0.2361425757408142,-0.6539160013198853,-59.58274841308594,6.391297817230225,33.86457824707031
7210,0,170,30,23,170,30,46,45,-0.6725488305091858,-0.2893652319908142,-0.7523046731948853,-24.529312133789062,-7.852977275848389,-13.173587799072266
7211,0,170,30,22,170,30,44,138,-0.7177148461341858,-0.06499999761581421,-0.7837988138198853,54.08137512207031,-36.40259552001953,-48.28809356689453
7212,0,170,30,16,170,30,41,81,-0.6896386742591858,-0.4766210913658142,-0.6595312356948853,16.661527633666992,-20.799543380737305,-43.570533752441406
7213,0,170,30,13,170,30,41,121,-0.9086328148841858,-0.4690527319908142,-0.41026365756988525,78.4325180053711,26.101221084594727,17.2691593170166
7214,0,170,30,19,170,30,44,118,-0.7933984398841858,0.08514648675918579,-1.0128027200698853,-59.399539947509766,26.58976936340332,32.58213806152344
7215,0,170,30,38,170,30,43,46,-0.7470117211341858,-0.2673925757408142,-0.6668554544448853,38.569923400878906,-1.623969554901123,-6.65450382232666
7216,0,170,30,39,170,30,42,255,-0.5556054711341858,-0.1912207007408142,-0.8011327981948853,132.78366088867188,-50.47893142700195,-72.13542175292969
7217,0,170,30,15,170,30,36,313,-0.6100488305091858,-0.7571386694908142,-0.10166992247104645,269.959228515625,-11.975114822387695,31.543968200683594
7218,1,170,30,6,170,30,40,67,-0.6701074242591858,-0.2805761694908142,-0.46250975131988525,-5.0025954246521,23.79587745666504,38.6126708984375
7220,0,170,30,66,170,30,46,67,-0.7667871117591858,-0.4839453101158142,-0.42149412631988525,-43.65908432006836,-8.249923706054688,15.238625526428223
7223,96,170,30,170,170,30,45,43,-0.8705468773841858,-0.5100683569908142,-0.34751951694488525,1.5470229387283325,-26.601070404052734,-15.63160228729248
7224,119,170,30,194,170,30,44,35,-0.9240136742591858,-0.6218847632408142,-0.11583007872104645,17.592824935913086,-15.440763473510742,-2.7919082641601562
7225,73,170,30,162,170,30,48,139,-0.9977441430091858,-0.2761816382408142,-0.39170897006988525,-66.39190673828125,69.6584701538086,3.192824363708496
7226,24,170,30,86,170,30,53,73,-0.6122460961341858,-0.6838964819908142,-0.5621191263198853,-8.498779296875,29.169921875,35.986717224121094
7227,8,170,30,65,170,30,52,18,-0.8446679711341858,-0.2590917944908142,-0.5330663919448853,-4.773587703704834,-4.784274578094482,8.444732666015625
7228,3,170,30,53,170,30,51,46,-0.7326074242591858,-0.4021582007408142,-0.5533300638198853,-25.79648780822754,-5.272824287414551,15.83404541015625
7229,10,170,30,41,170,30,51,29,-0.7970605492591858,-0.3049902319908142,-0.5403906106948853,-2.605648994445801,9.276793479919434,17.437097549438477
7230,60,170,30,54,170,30,52,40,-0.9037500023841858,-0.2034277319908142,-0.6390234231948853,1.134809136390686,9.124122619628906,30.15465545654297
7231,101,170,30,92,170,30,51,63,-0.7111230492591858,-0.2161230444908142,-0.7086035013198853,38.8141975402832,-18.738473892211914,-6.272824287414551
7232,124,170,30,133,170,30,49,45,-0.7743554711341858,-0.4653906226158142,-0.38560545444488525,25.913434982299805,-12.921679496765137,6.414198398590088
7233,136,170,30,162,170,30,48,45,-0.7555566430091858,-0.3071874976158142,-0.26670897006988525,18.493587493896484,-17.593435287475586,-9.601068496704102
7234,136,170,30,156,170,30,49,0,-0.8380761742591858,-0.3257421851158142,-0.43711912631988525,-0.07129770517349243,0.26916027069091797,-0.639236569404602
7235,132,170,30,142,170,30,50,20,-0.8458886742591858,-0.2651953101158142,-0.5208593606948853,-12.101832389831543,3.047786235809326,5.788244247436523
7236,132,170,30,125,170,30,50,30,-0.8585839867591858,-0.2459082007408142,-0.7781835794448853,4.508854866027832,-16.234657287597656,-9.662137031555176
7237,126,170,30,90,170,30,50,34,-0.9894433617591858,-0.4807714819908142,-0.5206152200698853,-16.83465576171875,-9.990381240844727,-7.875877380371094
7238,117,170,30,52,170,30,52,11,-0.8429589867591858,-0.3149999976158142,-0.5176855325698853,7.180610656738281,-2.158320665359497,-1.6774046421051025
7239,105,170,30,27,170,30,53,30,-0.8312402367591858,-0.2251562476158142,-0.5054785013198853,-15.720152854919434,-5.288091659545898,-9.906412124633789
7240,38,170,30,9,170,30,58,163,-0.7802148461341858,-0.3093847632408142,-0.45982420444488525,68.09664154052734,64.4981689453125,-30.761375427246094
