timestamp,tipPressure,tipUpperRange,tipLowerRange,fingerPressure,fingerUpperRange,fingerLowerRange,angle,writtingSpeed,accX,accY,accZ,gyroX,gyroY,gyroZ
9366,0,170,30,66,170,30,46,93,-0.9826074242591858,-0.2964453101158142,-0.43345701694488525,-34.02549743652344,34.43709945678711,25.314960479736328
9367,0,170,30,33,170,30,48,109,-0.8095117211341858,-0.2400488257408142,-0.45567381381988525,-61.52167892456055,36.223358154296875,11.818778991699219
9369,0,170,30,17,170,30,51,249,-0.6908593773841858,-0.08233398199081421,-0.7266699075698853,-159.32321166992188,46.04015350341797,44.322593688964844
9370,0,170,30,8,170,30,54,332,-0.6574121117591858,0.4757714867591858,-0.7613378763198853,-181.5216827392578,50.51343536376953,100.33786010742188
9371,0,170,30,6,170,30,51,24,-0.6110253930091858,0.5949121117591858,-0.7261816263198853,-10.69725227355957,3.5058016777038574,10.76534366607666
9372,0,170,30,6,170,30,47,124,-0.5250878930091858,0.4183984398841858,-0.8760839700698853,82.63099670410156,-18.95221519470215,-22.4865665435791
9373,0,170,30,5,170,30,43,111,-0.7238183617591858,0.3136621117591858,-0.6595312356948853,83.19587707519531,-23.333894729614258,5.33022928237915
9374,0,170,30,14,170,30,41,128,-0.5582910180091858,0.019716795533895493,-0.8961035013198853,85.13481140136719,-4.906412124633789,-38.059085845947266
9375,0,170,30,22,170,30,41,68,-0.6720605492591858,0.06756836175918579,-0.8570410013198853,48.40198516845703,-3.6087021827697754,-16.181222915649414
9376,0,170,30,15,170,30,38,53,-0.6925683617591858,-0.3977636694908142,-0.6873632669448853,25.837099075317383,-11.578167915344238,15.910381317138672
9377,0,170,30,14,170,30,38,33,-0.6745019555091858,-0.06573241949081421,-0.7549902200698853,-9.033129692077637,-16.372060775756836,7.940916061401367
9378,0,170,30,20,170,30,37,27,-0.8046289086341858,0.021181639283895493,-0.6646581888198853,7.867633819580078,-14.23465633392334,5.757709980010986
9379,0,170,30,27,170,30,38,27,-0.7680078148841858,-0.09844726324081421,-0.7676855325698853,22.52412223815918,-2.8148090839385986,2.4600000381469727
9380,0,170,30,32,170,30,39,19,-0.7892480492591858,-0.11382812261581421,-0.6951757669448853,2.7073283195495605,-14.280458450317383,2.6126718521118164
9381,0,170,30,33,170,30,39,34,-0.7975488305091858,-0.1921972632408142,-0.6429296731948853,22.78366470336914,-9.807175636291504,-2.3186259269714355
9382,0,170,30,34,170,30,40,33,-0.8739648461341858,-0.030332032591104507,-0.5423437356948853,28.111909866333008,-2.6316030025482178,-2.5018320083618164
9383,0,170,30,39,170,30,42,83,-0.8480859398841858,-0.2659277319908142,-0.6512304544448853,44.34091567993164,-3.9598472118377686,-35.3873291015625
9384,0,170,30,42,170,30,43,15,-0.7846093773841858,-0.2676367163658142,-0.6138769388198853,-9.918625831604004,-1.2117557525634766,4.551603317260742
9385,0,170,30,41,170,30,45,20,-0.7660546898841858,-0.2612890601158142,-0.6295019388198853,13.043206214904785,0.8035114407539368,-6.959847450256348
9386,0,170,30,25,170,30,45,15,-0.7572656273841858,-0.2815527319908142,-0.6033788919448853,-4.9720611572265625,4.772977352142334,5.3607635498046875
9387,0,170,30,16,170,30,47,11,-0.7528710961341858,-0.2612890601158142,-0.6614843606948853,-4.71251916885376,5.811145305633545,0.5058015584945679
9388,0,170,30,12,170,30,48,22,-0.7389550805091858,-0.2439550757408142,-0.6509863138198853,-9.323206901550293,11.704275131225586,1.6813740730285645
9389,0,170,30,12,170,30,48,22,-0.7579980492591858,-0.2166113257408142,-0.6729589700698853,-10.254504203796387,5.719542026519775,7.024885654449463
9390,0,170,30,9,170,30,48,7,-0.7179589867591858,-0.2149023413658142,-0.6946874856948853,0.12717556953430176,7.017251968383789,-0.07435116171836853
9391,0,170,30,4,170,30,50,97,-0.7526269555091858,-0.2122167944908142,-0.6873632669448853,42.936336517333984,40.7271728515625,-14.196488380432129
9392,0,170,30,1,170,30,52,54,-0.6439843773841858,-0.2959570288658142,-0.7532812356948853,-5.47587776184082,37.337860107421875,-11.32625961303711
9393,0,170,30,0,170,30,52,26,-0.6022363305091858,-0.3008398413658142,-0.8087011575698853,4.14244270324707,15.139389038085938,-6.883511543273926
9394,0,170,30,0,170,30,49,26,-0.6188378930091858,-0.2324804663658142,-0.7996679544448853,-12.529313087463379,9.582137107849121,-4.059083938598633
9395,0,170,30,0,170,30,48,34,-0.5199609398841858,-0.3013281226158142,-0.8616796731948853,-15.307938575744629,16.467632293701172,-2.9293129444122314
9397,0,170,30,0,170,30,48,116,-0.5541406273841858,-0.1853613257408142,-0.8585058450698853,-75.46060943603516,38.879844665527344,-1.769007682800293
9398,0,170,30,1,170,30,50,371,-0.4223046898841858,0.2184472680091858,-0.9236913919448853,-215.18580627441406,38.80350875854492,117.62030792236328
9399,0,170,30,2,170,30,48,103,-0.4049707055091858,0.4049707055091858,-0.8663183450698853,-40.84992218017578,21.03251838684082,42.03251647949219
9400,0,170,30,2,170,30,44,27,-0.3141503930091858,0.3097558617591858,-0.9568945169448853,-3.1247329711914062,-5.272824287414551,19.360761642456055
9401,0,170,30,2,170,30,39,53,-0.3302636742591858,0.4181542992591858,-0.9180761575698853,-42.89572525024414,-1.1354198455810547,9.085954666137695
9402,0,170,30,2,170,30,34,95,-0.3756738305091858,0.2787500023841858,-1.0774999856948853,65.97450256347656,-3.807175636291504,-26.0438175201416
9403,0,170,30,0,170,30,22,624,-0.3419824242591858,-0.016171876341104507,-0.9295507669448853,334.7073059082031,-193.22702026367188,-96.92931365966797
9404,0,170,30,0,170,30,16,75,-0.7184472680091858,-0.3648046851158142,-0.6724706888198853,2.8447327613830566,-63.28809356689453,8.994351387023926
9405,0,170,30,0,170,30,18,227,-0.6871972680091858,-0.1814550757408142,-0.7457128763198853,-177.7048797607422,-8.952213287353516,41.13175582885742
9406,0,170,30,0,170,30,22,270,-0.6710839867591858,-0.07208007574081421,-0.48960936069488525,-205.32321166992188,8.711908340454102,56.398929595947266
9407,0,170,30,0,170,30,27,105,-0.6972070336341858,0.11029297113418579,-0.6817480325698853,-78.22396850585938,7.5363359451293945,20.124120712280273
9408,0,170,30,1,170,30,31,22,-0.6581445336341858,0.10101562738418579,-0.8707128763198853,15.150075912475586,4.849312782287598,2.230992317199707
9409,0,170,30,1,170,30,32,146,-0.6141992211341858,0.3290429711341858,-0.7996679544448853,99.13481140136719,-0.8606107234954834,-46.47129821777344
9410,0,170,30,2,170,30,31,121,-0.5963769555091858,-0.05572265759110451,-0.9451757669448853,46.47832107543945,-27.059083938598633,-48.2575569152832
9411,0,170,30,7,170,30,28,182,-0.6117578148841858,-0.3049902319908142,-0.5796972513198853,81.59282684326172,-51.837711334228516,-49.37206268310547
9412,0,170,30,6,170,30,30,26,-0.8187890648841858,-0.1702246069908142,-0.7786718606948853,4.5699238777160645,-7.196488380432129,14.67374038696289
9413,0,170,30,5,170,30,31,63,-0.7658105492591858,-0.2500585913658142,-0.5699316263198853,33.348548889160156,-14.356793403625488,-16.257558822631836
9414,0,170,30,6,170,30,34,43,-0.7462792992591858,-0.1980566382408142,-0.7711035013198853,26.737863540649414,-15.74610710144043,-1.4636640548706055
9417,0,170,30,19,170,30,41,22,-0.8334375023841858,-0.1484960913658142,-0.7298437356948853,-13.155267715454102,-4.7079386711120605,5.009618282318115
9418,0,170,30,20,170,30,42,34,-0.9350000023841858,0.09369140863418579,-0.5638281106948853,-12.636183738708496,4.9256486892700195,17.040151596069336
9419,0,170,30,18,170,30,44,53,-0.8031640648841858,-0.04791015759110451,-0.6629492044448853,-19.720151901245117,12.223359107971191,21.895112991333008
9420,0,170,30,20,170,30,45,23,-0.7870507836341858,0.022158201783895493,-0.7078710794448853,-9.918625831604004,-7.822442531585693,5.727175712585449
9421,0,170,30,27,170,30,45,37,-0.7340722680091858,-0.06719726324081421,-0.7188574075698853,-9.613283157348633,-18.830078125,9.116488456726074
9422,0,170,30,49,170,30,44,17,-0.8656640648841858,0.03778320178389549,-0.6846777200698853,-7.139999866485596,-1.1354198455810547,9.482900619506836
9423,34,170,30,103,170,30,44,31,-0.7548242211341858,0.010927733033895493,-0.6692968606948853,-15.918625831604004,-5.043816566467285,-10.608702659606934
9424,65,170,30,163,170,30,45,29,-0.9076562523841858,-0.2371191382408142,-0.6873632669448853,-28.865190505981445,-0.43312978744506836,0.36839693784713745
